Constituency,Result,All votes,Winning vote,Share counted,Share ignored,CON,LAB,UKIP,LD,SNP,GRN,DUP,PC,SF,UUP,IND,SDLP,APNI,TUSC,SPE,NHA,TUV,RES,CSA,Others
Southport,LD HOLD,44101,13652,30.96%,69.04%,12330,8468,7429,13652,,1230,,,,,,,,,,,,,,992
Ynys Mon,LAB HOLD,34926,10871,31.13%,68.87%,7393,10871,5121,751,,,,10642,,,,,,,,,,,,148
Thurrock,CON HOLD,49564,16692,33.68%,66.32%,16692,16156,15718,644,,,,,,,79,,,,,,,,244,31
Portsmouth South,CON GAIN FROM LD,41903,14585,34.81%,65.19%,14585,8184,5595,9344,,3145,,,,,716,,,235,,,,,,99
Carshalton & Wallington,LD HOLD,47613,16603,34.87%,65.13%,15093,7150,7049,16603,,1492,,,,,,,,,,,,,,226
Bristol West,LAB GAIN FROM LD,64218,22900,35.66%,64.34%,9752,22900,1940,12103,,17227,,,,,,,,,,,,,,296
Ceredigion,LD HOLD,37416,13414,35.85%,64.15%,4123,3615,3829,13414,,2088,,10347,,,,,,,,,,,,0
Cambridge,LAB GAIN FROM LD,51774,18646,36.01%,63.99%,8117,18646,2668,18047,,4109,,,,,,,,,,,,,,187
"Berwickshire, Roxburgh & Selkirk",SNP GAIN FROM LD,55038,20145,36.60%,63.40%,19817,2700,1316,10294,20145,631,,,,,135,,,,,,,,,0
Derby North,CON GAIN FROM LAB,44745,16402,36.66%,63.34%,16402,16361,6532,3832,,1618,,,,,,,,,,,,,,0
Leeds North West,LD HOLD,43357,15948,36.78%,63.22%,8083,13041,2997,15948,,3042,,,,,,,,,,,,,,246
Bridgend,LAB HOLD,39453,14624,37.07%,62.93%,12697,14624,5911,1648,,736,,2784,,,763,,,118,,,,,,172
Gower,CON GAIN FROM LAB,42758,15862,37.10%,62.90%,15862,15835,4773,1552,,1161,,3051,,,168,,,103,,,,,,253
Clwyd South,LAB HOLD,35064,13051,37.22%,62.78%,10649,13051,5480,1349,,915,,3620,,,,,,,,,,,,0
Wrexham,LAB HOLD,32719,12181,37.23%,62.77%,10350,12181,5072,1735,,669,,2501,,,211,,,,,,,,,0
Plymouth Moor View,CON GAIN FROM LAB,42606,16020,37.60%,62.40%,16020,14994,9152,1265,,1023,,,,,,,,152,,,,,,0
Burnley,LAB GAIN FROM LD,39746,14951,37.62%,62.38%,5374,14951,6864,11707,,850,,,,,,,,,,,,,,0
Plymouth Sutton & Devonport,CON HOLD,47963,18120,37.78%,62.22%,18120,17597,6731,2008,,3401,,,,,,,,,,,,,,106
